tahun,merk,tipe,tipe_truncated,jenis_mobil,is_convertible,is_coupe,is_fastback,is_hatchback,is_mpv,is_pickup,is_suv,is_sedan,is_truck,is_van,is_wagon,transmisi,km,lokasi,penjual,harga_asli,harga_imputed,imputation_source,harga
2023,Toyota,Calya,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,32500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2018,Honda,BR-V,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,62500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2024,Honda,Brio,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,27500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,201503268.0
2023,Suzuki,XL7,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,37500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2023,Honda,Brio,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,37500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,201503268.0
2018,Mitsubishi,Xpander,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,87500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2018,Honda,HR-V,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,72500.0,Jawa Timur,Dealer,210000000.0,False,,210000000.0
2024,Toyota,Agya,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,12500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,201503268.0
2019,Honda,Civic,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,62500.0,DKI Jakarta,Private,320000000.0,False,,320000000.0
2019,Suzuki,SX4 S-Cross,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,62500.0,Banten,Sales Agent,170000000.0,False,,170000000.0
2019,Toyota,Yaris,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Manual,77500.0,Jawa Barat,Sales Agent,185000000.0,False,,185000000.0
2015,Lexus,NX 200T,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,55000.0,DKI Jakarta,Dealer,365000000.0,False,,365000000.0
2023,Hyundai,Santa Fe,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,72500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2010,Mercedes-Benz,E200,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,117500.0,DKI Jakarta,Dealer,158000000.0,False,,158000000.0
2020,Toyota,Calya,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,100000.0,Banten,Dealer,110000000.0,False,,110000000.0
2024,BMW,M2,True,Coupe,0,1,0,0,0,0,0,0,0,0,0,Automatic,7500.0,Banten,Dealer,1545000000.0,False,,1545000000.0
2014,Toyota,Kijang Innova,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Manual,142500.0,Jawa Timur,Dealer,190000000.0,False,,190000000.0
2019,Toyota,Camry,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,30000.0,Jawa Barat,Dealer,350000000.0,False,,350000000.0
2012,Mercedes-Benz,E250,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,59000.0,Jawa Barat,Dealer,238000000.0,False,,238000000.0
2022,Toyota,Kijang Innova,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,77500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2024,Honda,WR-V E,True,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,12500.0,Banten,Sales Agent,299000000.0,False,,299000000.0
2016,Toyota,Yaris,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,72500.0,DKI Jakarta,Dealer,151000000.0,False,,151000000.0
2019,Nissan,Livina,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,82500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2018,BMW,X1,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,27500.0,DKI Jakarta,Dealer,310000000.0,False,,310000000.0
2025,Wuling,Air EV Lite 300KM,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,2500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,201503268.0
2024,Mitsubishi,Xpander,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,17500.0,DKI Jakarta,Dealer,257000000.0,False,,257000000.0
2021,Mazda,CX-9,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,37500.0,Banten,Dealer,480000000.0,False,,480000000.0
2021,Toyota,Yaris,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,32500.0,DKI Jakarta,Dealer,211000000.0,False,,211000000.0
2024,Toyota,Rush,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,12500.0,DKI Jakarta,Dealer,234000000.0,False,,234000000.0
2020,Nissan,Livina,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,52500.0,DKI Jakarta,Dealer,174000000.0,False,,174000000.0
2022,Toyota,Raize GR Sport (2 Tone),True,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,52500.0,DKI Jakarta,Dealer,182000000.0,False,,182000000.0
2025,Toyota,Raize G (1 Tone),False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,17500.0,DKI Jakarta,Dealer,197000000.0,False,,197000000.0
2023,Mitsubishi,Xpander,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,27500.0,DKI Jakarta,Sales Agent,258000000.0,False,,258000000.0
2019,Honda,Brio,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,82500.0,DKI Jakarta,Dealer,146000000.0,False,,146000000.0
2019,Toyota,Yaris,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,72500.0,DKI Jakarta,Dealer,193000000.0,False,,193000000.0
2012,Mazda,Biante,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,112500.0,DKI Jakarta,Dealer,100000000.0,False,,100000000.0
2021,MG,HS Ignite,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,42500.0,DKI Jakarta,Dealer,190000000.0,False,,190000000.0
2022,Daihatsu,Rocky X,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,77500.0,Jawa Barat,Dealer,180000000.0,False,,180000000.0
2023,Toyota,Raize GR Sport TSS (2 Tone),True,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,37500.0,DKI Jakarta,Dealer,315000000.0,False,,315000000.0
2015,Honda,CR-V,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,102500.0,DKI Jakarta,Dealer,170000000.0,False,,170000000.0
2012,Mitsubishi,Pajero Sport,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,117500.0,DKI Jakarta,Dealer,205000000.0,False,,205000000.0
2018,Suzuki,Ignis,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,52500.0,DKI Jakarta,Sales Agent,128000000.0,False,,128000000.0
2023,Toyota,Rush,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,37500.0,DKI Jakarta,Dealer,235000000.0,False,,235000000.0
2015,Mitsubishi,Pajero Sport,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,122500.0,DKI Jakarta,Dealer,225000000.0,False,,225000000.0
2021,Daihatsu,Ayla,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Manual,17500.0,Jawa Barat,Dealer,107000000.0,False,,107000000.0
2016,Toyota,Kijang Innova,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,67500.0,DKI Jakarta,Dealer,195000000.0,False,,195000000.0
2021,Mitsubishi,Xpander,False,,0,0,0,0,0,0,0,0,0,0,0,Automatic,32500.0,DKI Jakarta,Sales Agent,,False,,
2017,Toyota,Corolla Altis,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,62500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,471819265.0
2020,Honda,Brio,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,57500.0,Banten,Sales Agent,,True,mean_by_jenis_mobil,201503268.0
2021,Mitsubishi,Colt Diesel,False,Truck,0,0,0,0,0,0,0,0,1,0,0,Manual,37500.0,Jawa Barat,Dealer,370000000.0,False,,370000000.0
2019,Wuling,Almaz,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,62500.0,DKI Jakarta,Dealer,140000000.0,False,,140000000.0
2023,Honda,WR-V RS Honda Sensing,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,67500.0,Banten,Broker,202000000.0,False,,202000000.0
